Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2017 [YR2017]
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9110000:ACTUAL RECREATION AND CULTURE,9110000,0.236187087050959,1.28412394437338
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9120000:ACTUAL EDUCATION,9120000,0.650279643680265,0.620129378062785
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES,9140000,0.538160015605657,0.527582547444127
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9250000:DOMESTIC ABSORPTION,9250000,15.8347295774247,15.0294176407705
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,9.35017765130168,9.64686986206486
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE,9270000,1.41583253188912,1.49745250841139
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1000000:GROSS DOMESTIC PRODUCT,1000000,200.019102686764,167.533585693842
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,1101000,27.3353976052808,32.3435632561922
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101100:FOOD,1101100,26.4037240990578,31.4620972732996
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101110:Bread and cereals,1101110,3.30108667367763,3.12190563563012
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101120:Meat,1101120,6.51012890499842,7.87213409599407
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101130:Fish and seafood,1101130,0.309647363272097,0.409109718967349
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101140:Milk, cheese and eggs",1101140,3.24031512300661,2.97552697722674
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101150:Oils and fats,1101150,1.6711841135838,1.45981835386534
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101160:Fruit,1101160,2.22050853004607,2.97833490289835
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101170:Vegetables,1101170,6.09107534530294,8.82030585512946
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,1.10568700834001,1.00767264754914
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101190:Food products n.e.c. (Class),1101190,1.95409103683022,2.81728908603896
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1101200:NON-ALCOHOLIC BEVERAGES,1101200,0.931673506223021,0.881465982892753
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",1102000,1.51309852132961,1.2419183221053
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1102100:ALCOHOLIC BEVERAGES,1102100,0.173187792321915,0.184048378257007
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1102200:TOBACCO,1102200,1.33991072900769,1.0578699438483
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1103000:CLOTHING AND FOOTWEAR,1103000,2.61811473750915,3.34381309379387
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,2.21240668663786,2.30867700438892
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1107000:TRANSPORT,1107000,10.4261998761909,12.8217661055845
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1107100:PURCHASE OF VEHICLES,1107100,1.4006573730246,1.69858117497477
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1107300:TRANSPORT SERVICES,1107300,7.63757213250341,9.14896986413277
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1108000:COMMUNICATION,1108000,5.11838505491308,6.46106709734847
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1111000:RESTAURANTS AND HOTELS,1111000,2.11963730044116,2.47490239728873
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1113000:NET PURCHASES ABROAD,1113000,-0.452762382363161,-0.351522049024887
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,1300000,23.86670548256,18.375281359039
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,1400000,17.1478389313872,13.5276843415493
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1500000:GROSS CAPITAL FORMATION,1500000,76.1173980690876,81.0938312986017
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1501000:GROSS FIXED CAPITAL FORMATION,1501000,63.3457757319985,69.3060288283015
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1501100:MACHINERY AND EQUIPMENT,1501100,26.7744772778115,25.904019541059
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1501200:CONSTRUCTION,1501200,32.9534391478777,38.4619561421912
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1501300:OTHER PRODUCTS,1501300,3.61785930630927,4.94005314505131
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1502000:CHANGES IN INVENTORIES,1502000,12.7716223370891,11.7878024703002
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),1503000,0,0
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,1600000:BALANCE OF EXPORTS AND IMPORTS,1600000,20.2051942371968,-18.2004973881788
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,86.5486714490925,91.1125674418695
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,4.3180187071121,4.24366103901304
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9080000:ACTUAL HEALTH,9080000,5.60386267309449,5.22490183781645
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,9100000,62.6819659665324,72.7372860828306
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9110000:ACTUAL RECREATION AND CULTURE,9110000,1.88524562255508,1.65919511201901
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9120000:ACTUAL EDUCATION,9120000,9.39512324406367,7.3449311630879
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES,9140000,14.4559438023277,11.9956930622559
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9250000:DOMESTIC ABSORPTION,9250000,179.813908449567,185.734083082021
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,61.0998373553984,71.2415316843803
Algeria,DZA,"Expenditure, market exchange rate-based (US$, billions)",CD,9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE,9270000,41.0145444139472,31.9029657005883
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1000000:GROSS DOMESTIC PRODUCT,1000000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,1101000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101100:FOOD,1101100,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101110:Bread and cereals,1101110,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101120:Meat,1101120,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101130:Fish and seafood,1101130,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101140:Milk, cheese and eggs",1101140,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101150:Oils and fats,1101150,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101160:Fruit,1101160,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101170:Vegetables,1101170,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101190:Food products n.e.c. (Class),1101190,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1101200:NON-ALCOHOLIC BEVERAGES,1101200,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",1102000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1102100:ALCOHOLIC BEVERAGES,1102100,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1102200:TOBACCO,1102200,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,1103000:CLOTHING AND FOOTWEAR,1103000,..,..
